Nucleus,Ex,T1/2,I,μ(nm),Q(b),,[Ref. Std.],Method,NSR Keynumber,Journal Reference
101Zr,0,2.4s,3/2+,-0.272(8),,,[91Zr],CLS,2003TH03,JP G29 2247 (03)
102Zr,152,1.9 ns,2+,+0.44(10),,,,IPAC,2004SM04,PL B591 55 (04)
87Nb,2412,58 ps,17/2-,+7.0(9),,,,IMPAD,1995We03,NP A584 133 (95)
89Nb,0,2.0 h,9/2+,6.216(5),,,,NMR/ON,1997Hi06,NP A620 317 (97)
90Nb,0,14.6 h,8+,+4.952(4),,,[93Nb],CLS,2009CH25,PRL 102 222501 (09)
91Nb,0,680 y,9/2+,+6.521(2),,,[93Nb],CLS,2009CH25,PRL 102 222501 (09)
92Nb,0,73.5 x 10  y,7+,+5.136(4),,,[93Nb],CLS,2009CH25,PRL 102 222501 (09)
93Nb,0,stable,9/2+,+6.1705(3),,,[45Sc],"N,O","1951Sh33, 1947Me27","PR 82 651 (51), PR 72 451 (47)"
95Nb,0,35.2 d,9/2+,6.141(5),,,[93Nb],NMR/ON,1986Ed01,NP A451 46 (86)
96Nb,0,23.4 h,6+,4.976(4),,,[93Nb],NMR/ON,1986Ed01,NP A451 46 (86)
97Nb,0,72.1 m,9/2+,6.153(5),,,,NMR/ON,1991Be18,PR C44 104 (91)
99Nb,0,15 s,9/2+,+5.97(3),,,[93Nb],CLS,2009CH25,PRL 102 222501 (09)
101Nb,0,7.1 s,5/2+,+3.190(2),,,[93Nb],CLS,2009CH25,PRL 102 222501 (09)
103Nb,0,1.5 s,5/2+,+3.137(4),,,[93Nb],CLS,2009CH25,PRL 102 222501 (09)
88Mo,_,_,"6+,8+",g(avge) = +0.5(3),,,,IMPAD,1995We03,NP A584 133 (95)
89Mo,2584,9.5 ns,21/2+,+8.3(4),,,[90Mo 2875],TDPAD,1995We12,ZP A353 7 (95)
90Mo,2594,16 ps,5-,+5.5(14),,,,IMPAD,1994We09,JP G20 L77 (94)
91Mo,0,15.5 m,9/2+,-0.932(3),,,"[95,97Mo]",TLS,2009CH09,PL B674 23 (09)
92Mo,1509,0.38 ps,2+,+2.3(3),,,,TF,2001Ma17,PR C63 034312 (01)
93Mo,2425,6.85 h,21/2+,(+)9.93(8),,,[95Mo],NMR/ON,1981Ha12,PR C23 2252 (81)
94Mo,871,2.9 ps,2+,+0.62(9),,,,TF,2001Ma17,PR C63 034312 (01)
95Mo,0,stable,5/2+,-0.9142(1),,,[97Mo],N,1951Pr02,PR 81 20 (51)
96Mo,778,3.7 ps,2+,+0.79(6),,,,TF,2001Ma17,PR C63 034312 (01)
97Mo,0,stable,5/2+,-0.9335(1),,,[14N],N,1951Pr02,PR 81 20 (51)
98Mo,787,3.5 ps,2+,+0.97(6),,,[106Pd 512],TF,2011Ch23,PR C83 054318 (2011)
99Mo,0,65.9 h,1/2+,0.375(3),,,[95Mo],AB,1978Ru04,PS 18 209 (78)
100Mo,536,10.3 ps,2+,+0.94(7),,,,TF,2001Ma17,PR C63 034312 (01)
102Mo,297,0.11 ns,2+,0.84(14),,,,IPAC,1985Me13,ZP A321 593 (85)
103Mo,0,67.5 s,3/2+,-0.27(2),,,"[95,97Mo]",TLS,2009CH09,PL B674 23 (09)
104Mo,192,0.9 ns,2+,+0.50(4),,,,IPAC,2002Pa14,JP G28 649 (02)
105Mo,0,35.6 s,(5/2-),-0.55(2),,,"[95,97Mo]",TLS,2009CH09,PL B674 23 (09)
106Mo,172,1.25 ns,2+,+0.42(4),,,,IPAC,2004SM04,PL B591 55 (04)
107Mo,66,245 ns,_,g = -0.92(3),,,,TDPAC,1976ChZD,Cf76Carg 471 (76)
108Mo,193,0.50 ns,2+,+1.0(6),,,,IPAC,2004SM04,PL B591 55 (04)
92Tc,2002,3.2 ns,11-,+8.9(3),,,,TDPAD,1996Tu03,PR C54 2904 (96)
93Tc,0,2.75 h,9/2+,6.32(6),,,,NMR/ON,1995Hi06,ZP A350 311 (95)
94Tc,0,293 m,7+,5.12(5),,,,NMR/ON,1995Hi06,ZP A350 311 (95)
95Tc,0,20.0 h,9/2+,5.94(6),,,,NMR/ON,1995Hi06,ZP A350 311 (95)
96Tc,0,4.28 d,7+,5.09(5),,,,NMR/ON,1995Hi06,ZP A350 311 (95)
99Tc,0,2.1x10*5y,9/2+,+5.6847(4),,,[2H],N,1952Wa02,PR 85 479 (52)
108Tc,>153,100 ns,_,g = +0.50(4),,,,TDPAC,1976ChZD,Cf76Carg 471 (76)
93Ru,2082,2.4 μs,21/2+,+8.97(2),,,,TDPAD,1983Gr33,HFI 15 65 (83)
94Ru,2498,65 ns,6+,+8.12(5),,,,TDPAD,1977Ha49,NP A293 248 (77)
95Ru,0,1.64 h,5/2+,0.861(7),,,,NMR/ON,1991Hi17,NP A534 339 (91)
96Ru,833,2.7 ps,2+,+0.89(6),,,,TF,2011Ch23,PR C83 054318 (11)
97Ru,0,2.88 d,5/2+,(-)0.787(8),,,[101Ru],NMR/ON,1985Ed06/1980Le09,PR C32 1707 (85)/PR C21 2581 (80)
98Ru,653,5.9 ps,2+,+0.82(6),,,,TF,2011Ch23,PR C83 054318 (11)
99Ru,0,stable,5/2+,-0.641(5),,,,AB/D,1977Bu04,ZP A280 217 (77)
100Ru,540,12 ps,2+,+0.86(5),,,,TF,2011Ch23,PR C83 054318 (11)
101Ru,0,stable,5/2+,-0.719(6),,,,AB/D,1977Bu04,ZP A280 217 (77)
102Ru,475,18 ps,2+,+0.91(5),,,,TF,2011Ch23,PR C83 054318 (11)
103Ru,0,39.4 d,3/2+,0.206(3),,,,NMR/ON,1990Hi02,NP A509 541 (90)
104Ru,358,58 ps,2+,+0.81(4),,,,TF,2011Ch23,PR C83 054318 (11)
105Ru,0,4.44h,3/2+,(-)0.32(+8/-20),,,[101Ru],NO/S,1981Lu04,ZP A299 353 (81)
106Ru,270,est 0.20 ns,2+,+0.6(2),,,,IPAC,2004SM04,PL B591 55 (04)
108Ru,242,0.34 ns,2+,+0.46(8),,,,IPAC,2004SM04,PL B591 55 (04)
109Ru,>95,780 ns,_,g = -0.22(1),,,,TDPAD,1976ChZD,Cf76Carg 471 (76)
110Ru,241,0.30 ns,2+,+0.88(14),,,,IPAC,2004SM04,PL B591 55 (04)
112Ru,237,0.32 ns,2+,+0.9(2),,,,IPAC,2004SM04,PL B591 55 (04)
95Rh,2236,19 ns,17/2-,+10.9(3),,,,TDPAD,1983Gr33,HFI 15 65 (83)
99Rh,65,4.7 h,9/2+,5.62(6),,,,"NMR/ON, R",1995Se20,PR B51 11484 (95)
100Rh,75,215 ns,2+,+4.324(8),,,,TDPAC,1966Ma54,NIM 45 309 (66)
101Rh,157,4.34 d,9/2+,5.43(6),,,,"NMR/ON, R",1995Se20,PR B51 11484 (95)
102Rh,0,206 d,2-,0.5(4),,,,NO/S,1975Sc09,NP A243 309 (75)
103Rh,0,stable,1/2-,-0.8840(2),,,[2H],N,1955So10,PR 98 1316 (55)
104Rh,215.5 + x,47 ns,6-,+2.00(6),,,,TDPAD,1990Bi03,ZP A335 365 (90)
105Rh,0,35.4 h,7/2+,4.41(5),,,,"NMR/ON,R",1995Se20,PR B51 11484 (95)
106Rh,0,29.8 s,1+,2.575(7),,,,NMR/ON,1990Oh01,PR C41 243 (90)
96Pd,2532,2.22 μs,8+,+10.97(6),,,,TDPAD,1983Gr01,PL 120B 63 (83)
101Pd,0,8.5 h,5/2+,(-)0.66(2),,,[105Pd],NMR/ON,1986Ni02,NP A451 233 (86)
102Pd,556,11.3 ps,2+,+0.82(6),,,[106Pd 512],TF,2011Ch23,PR C83 054318 (2011)
103Pd,785,25 ns,11/2-,-1.05(6),,,,TDPAD,1981KaZE,ZfK-455 27 (81)
104Pd,556,9.7 ps,2+,+0.89(6),,,[106Pd 512],TF,2011Ch23,PR C83 054318 (2011)
105Pd,0,stable,5/2+,-0.642(3),,,,N,1964Se13,PR 136 A1119 (64)
106Pd,512,12 ps,2+,+0.79(5(,,,,R,2011Ch23,PR C83 054318 (2011)
108Pd,434,23 ps,2+,+0.69(4),,,[106Pd 512],TF,2011Ch23,PR C83 054318 (2011)
110Pd,374,46 ps,2+,+0.67(4),,,[106Pd 512],TF,2011Ch23,PR C83 054318 (2011)
114Pd,333,117 ps,2+,+0.5(2),,,,IPAC,2004SM04,PL B591 55 (04)
116Pd,341,0.11 ns,2+,+0.4(2),,,,IPAC,2004SM04,PL B591 55 (04)
97Ag,0,25.5 s,(9/2+),+6.13(2),,,[109Ag],GCLS,2014Fe01,PL B728 191 (2014)
98Ag,0,47.5 s,if 6,+4.64(7),,,[109Ag],GCLS,2014Fe01,PL B728 191 (2014)
99Ag,0,124 s,(9/2+),+5.81(3),,,[109Ag],GCLS,2014Fe01,PL B728 191 (2014)
100Ag,0,2.01 m,5-,+4.37(3),,,[109Ag],GCLS,2014Fe01,PL B728 191 (2014)
101Ag,0,11.4 m,9/2+,+5.57(4),,,[109Ag],GCLS,2014Fe01,PL B728 191 (2014)
102Ag,0,13 m,5+,4.6(7),,,[110Ag 118],NO/S,1985Va06/1983Va09,HFI 22 483 (85)/NP A396 115c (83)
103Ag,0,1.10 h,7/2+,+4.432(2),,,[106mAg],CLS,1989DI12,NP A503 331 (89)
104Ag,0,69 m,5+,3.919(3),,,[106mAg],CLS,1989DI12,NP A503 331 (89)
105Ag,0,41.3 d,1/2-,0.1014(10),,,[107Ag],AB,1963Ew02,PR 129 1617 (63)
106Ag,0,24 m,1+,+2.8(2),,,[107Ag],AB,1974Gr10,PR C9 2028 (1974)
107Ag,0,stable,1/2-,-0.11357(2),,,,AB/D,1973Bu24,ZNat 28a 1753 (73)
108Ag,0,2.4 m,1+,2.6884(7),,,[8Li],β-NMR,1976Wi03,NP A261 261 (76)
109Ag,0,stable,1/2-,0.13056(2),,,[107Ag],N,1954So05,PR 93 174 (54)
110Ag,0,24.4 s,1+,2.7271(8),,,[108Ag],"NMR/ON, AB",1976Wi03,NP A261 261 (76)/JP A2 658 (69)
111Ag,0,7.45 d,1/2-,-0.146(2),,,[109Ag],AB,1956Wo**,PPS 69A 581 (56)
112Ag,0,3.14 h,2(-),0.0547(5),,,[109Ag],AB,1964Ch06,PR 133 B1138 (64)
113Ag,0,5.37 h,1/2-,0.159(2),,,[109Ag],AB,1964Ch06,PR 133 B1138 (64)
100Cd,2548,73 ns,8+,9.9(5),,,,TDPAD,1992Al17,ZP A344 1 (92)
102Cd,2718,56 ns,8+,10.3(2),,,,TDPAD,1992Al17,ZP A344 1 (92)
103Cd,0,7.3 m,5/2+,-0.81(3),,,[109Cd],CLS,1987Bu01,NP A462 305 (87)
105Cd,0,56 m,5/2+,-0.7393(2),,,[109Cd],OD,1969La06,PR 177 1615 (69)
106Cd,633,7.3 ps,2+,+0.79(6),,,,TF,2011Ch23,PR C83 054318 (2011)
107Cd,0,6.50 h,5/2+,-0.6150554(11),,,[111Cd],"OP/RD,N,OD",1972Sp09/1963By02,PL 42A 273 (72)/PR 132 1181 (63)
108Cd,633,6.8 ps,2+,+0.78(6),,,,TF,2011Ch23,PR C83 054318 (2011)
109Cd,0,453 d,5/2+,-0.8278461(15),,,[111Cd],"OP/RD,N,OD",1972Sp09/1963By02,PL 42A 273 (72)/PR 132 1181 (63)
110Cd,658,5.0 ps,2+,+0.81(6),,,,TF,2011Ch23,PR C83 054318 (2011)
111Cd,0,stable,1/2+,-0.5948861(8),,,[1H],"OP/RD, N",1972Sp09/1950Pr51,PL 42A 273 (72)/PR 79 35 (50)
112Cd,617,6.2 ps,2+,+0.72(5),,,,TF,2011Ch23,PR C83 054318 (2011)
113Cd,0,9x10*15 y,1/2+,-0.6223009(9),,,[111Cd],"OP/RD, N",1972Sp09/1950Pr51,PL 42A 273 (72)/PR 79 35 (50)
114Cd,558,9.0 ps,2+,+0.65(4),,,,TF,2011Ch23,PR C83 054318 (2011)
115Cd,0,53.4 h,1/2+,-0.6484259(12),,,[111Cd],"OP/RD, N",1969Ch07,PL 29A 103 (69)
116Cd,514,15 ps,2+,+0.59(5),,,,TF,n,PR C83 054318 (2011)
117Cd,0,2.49 h,1/2+,-0.7436(2),,,[111Cd],CLS,2013Yo02,PRL 110 192501 (2013)
107In,0,32.4 min,9/2+,+5.585(8),,,[115In],CFBLS,1987Eb02,NP A464 9 (87)
108In,0,58 m,7+,+4.561(3),,,[115In],CFBLS,1987Eb02,NP A464 9 (87)
109In,0,4.2 h,9/2+,+5.538(4),,,[115In],CFBLS,1987Eb02,NP A464 9 (87)
110In,0*,69.1 m,2+,+4.365(4),,,[113In],AB,1968CaZX,Th Casserb (68)
111In,0,2.83 d,9/2+,+5.503(7),,,[115In],CFBLS,1987Eb02,NP A464 9 (87)
112In,0*,14.4 m,1+,+2.82(3),,,[113In],AB,1968CaZX,Th68 Casserb (68)
118In,~60,4.45 m,5+,+4.231(9),,,[115In],CFBLS,1987Eb02,NP A464 9 (87)
119In,0,2.4 m,9/2+,+5.515(10),,,[115In],CFBLS,1987Eb02,NP A464 9 (87)
120In,(0),44.4 s,5+,+4.295(5),,,[115In],CFBLS,1987Eb02,NP A464 9 (87)
121In,0,23.1 s,9/2+,+5.502(5),,,[115In],CFBLS,1987Eb02,NP A464 9 (87)
122In,0+x,9.2 s,5+,+4.318(5),,,[115In],CFBLS,1987Eb02,NP A464 9 (87)
123In,0,6.68 s,9/2+,+5.491(7),,,[115In],CFBLS,1987Eb02,NP A464 9 (87)
124In,0,3.09 s,3+,+4.043(11),,,[115In],CFBLS,1987Eb02,NP A464 9 (87)
125In,0,2.50 s,9/2+,+5.502(9),,,[115In],CFBLS,1987Eb02,NP A464 9 (87)
126In,(0),1.60 s,3+,+4.034(11),,,[115In],CFBLS,1987Eb02,NP A464 9 (87)
127In,0,1.22 s,9/2+,+5.522(8),,,[115In],CFBLS,1987Eb02,NP A464 9 (87)
127Sn,0,2.1 h,11/2-,-1.329(7),,,,ABLFS,2005Le34,PR C72 034305 (05)
128Sn,1169,1.6 ps,2+,(-)0.46(12),,,,RIV,2013Al10,PR C87 054325 (2013)
129Sn,0,2.23 m,3/2+,+0.754(3),,,,ABLFS,2005Le34,PR C72 034305 (05)
130Sn,1947,1.7 m,7-,-0.381(3),,,,ABLFS,2005Le34,PR C72 034305 (05)
131Sn,0,56 s,3/2+,+0.747(4),,,,ABLFS,2005Le34,PR C72 034305 (05)
112Sb,796,536 ns,8-,+2.192(8),,,,TDPAD,1976Ke07,HFI 2 336 (76)
114Sb,0,3.49 m,3+,1.72(8),,,,NO/S,1993Bo46,HFI 78 133 (93)
115Sb,0,31.8 m,5/2+,+3.46(1),,,[121Sb],AB,1968Ja05,PR 175 65 (68)
116Sb,0,16 m,3+,2.715(9),,,"[121,123Sb]",NMR/ON,1986Gr16,PL 177B 159 (86)
117Sb,0,2.80 h,5/2+,+3.43(6),,,[121Sb],AB,1974Ek01,NP A226 219 (74)
118Sb,0,3.6 m,1+,2.47(7),,,[121Sb],AB,1968Ja05,PR 175 65 (68)
119Sb,0,38.0 h,5/2+,+3.45(1),,,[121Sb],AB,1968Ja05,PR 175 65 (68)
120Sb,*0*,15.9 m,1+,2.3(2),,,[121Sb],AB,1968Ja05,PR 175 65 (68)
121Sb,0,stable,5/2+,+3.3634(3),,,[23Na],N,1951Pr02,PR 81 20 (51)
122Sb,0,2.68 d,2-,-1.90(2),,,"[121,123Sb]",NO/D,1958Pi45,PR 112 935 (58)
123Sb,0,stable,7/2+,+2.5498(2),,,[2H],N,1951Pr02,PR 81 20 (51)
124Sb,0,60.2 d,3-,1.20(2),,,[122Sb],NMR/ON,1974Ca06,NP A221 1 (74)
125Sb,0,2.7 y,7/2+,+2.63(4),,,[122Sb],NMR/ON,1974Ca06,NP A221 1 (74)
126Sb,0,12.4 d,(8)-,1.28(7),,,,NO/S,1972Kr15,PR C6 2268 (72)
127Sb,0,3.84 d,7/2+,2.697(6),,,[123Sb],NMR/ON,1996Li01,PR C53 124 (96)
128Sb,0,9.1 h,8-,1.3(2),,,,NO/S,1972Kr15,PR C6 2268 (72)
129Sb,0,4.4 h,7/2+,2.79(2),,,[123Sb],NMR/ON,1997St06/1996Li01,PR C53 124 (96)
131Sb,0,23 m,7/2+,2.89(1),,,[123Sb],NMR/ON,1997St06,PRL 78 820 (97)
115Te,280,7.5 μs,11/2-,-0.954(5),,,,TDPAD,1977MiZL,DisA 37 4025B (77)
117Te,274,19.1 ns,5/2+,-0.787(12),,,,TDPAD,1981Io07,HFI 9 71 (81)
119Te,0,16.1 h,1/2+,0.25(5),,,,AB,1965Ad03,ArkF 30 111 (65)
120Te,560,9.3 ps,2+,+0.78(14),,,,TF,1985ThZX,BAPS 30 1264 (85)
121Te,294,154 d,11/2-,0.895(10),,,[125Te 36],NMR/ON,1987Ni11,PR C36 2069 (87)
122Te,564,7.52 ps,2+,+0.72(9),,,,TF,2007ST24,PR C76 034306 (07)
123Te,0,>1x10*15 y,1/2+,-0.7369478(8),,,[125Te],N,1977Bu29/1953We51,ZNat 32a 1263 (77)/PR 89 923 (53)
124Te,603,6.25 ps,2+,+0.74(6),,,,TF,2007ST24,PR C76 034306 (07)
125Te,0,stable,1/2+,-0.8885051(4),,,[2H],N,1977Bu29,ZNat 32a 1263 (77)
126Te,666,4.41 ps,2+,+0.67(3),,,,TF,2007ST24,PR C76 034306 (07)
127Te,0,9.4 h,3/2+,0.635(4),,,[125Te 36],NMR/ON,1979Ge04,PR C20 1171 (79)
128Te,743,3.2 ps,2+,+0.63(3),,,,TF,2007ST24,PR C76 034306 (07)
129Te,0,69.5 m,3/2+,0.702(4),,,[125Te 36],NMR/ON,1979Ge04,PR C20 1171 (79)
130Te,840,2.3 ps,2+,+0.70(4),,,,TF,2007ST24,PR C76 034306 (07)
131Te,0,25 m,3/2+,0.696(9),,,[125Te 36],NMR/ON,1979Ge04,PR C20 1171 (79)
132Te,974,1.8 ps,2+,+0.6(3),,,,TF,2008BE14,PL B664 241 (08)
133Te,0,12.5 m,3/2+,+0.85(2),,,,CLS,2006SI40,HFI 171 173 (06)
134Te,1576,1.96(6) ns,4+,3(2),,,,IPAC,2008GO28,PR C78 044331 (08)
135Te,0,19 s,7/2-,-0.69(5),,,,CLS,2006SI40,HFI 171 173 (06)
117I,0,2.22 m,(5/2)+,3.1(2),,,"[131,132I]",NO/S,1986Gr06,PL 173B 115 (86)
118I,0,13.7 m,2-,2.0(2),,,"[131,132I]",NO/S,1986Gr06,PL 173B 115 (86)
120I,0,1.4 h,2-,1.23(3),,,"[131,132I]",NO/S,1986Gr06,PL 173B 115 (86)
121I,0,2.1 h,5/2-,2.3(1),,,"[131,132I]",NO/S,1986Gr06,PL 173B 115 (86)
122I,0,3.63 m,1+,0.94(3),,,"[131,132I]",NO/S,1986Gr06,PL 173B 115 (86)
123I,0,13.3 h,5/2+,2.818(7),,,[131I],NMR/ON,1979Sc13,NP A323 1 (79)
124I,0,4.18 d,2-,1.446(4),,,,NMR/ON,1992Oh01,PR C45 162 (92)
125I,0,60.2 d,5/2+,2.821(5),,,[131I],NMR/ON,1979Sc13,NP A323 1 (79)
126I,0,13.1 d,2-,1.438(4),,,,NMR/ON,1992Oh01,PR C45 162 (92)
127I,0,stable,5/2+,+2.81327(8),,,[1H],"N, O",1951Ya03/1939Sc16,PR 82 750 (51)/ZP 112 199 (39)
128I,138,845 ns,4-,-0.72(3),,,,R,1982Al10,IzF 46 52 (82)
129I,0,1.6x10*7 y,7/2+,+2.6210(3),,,[2H],N,1951Wa12,PR 82 97 (51)
130I,0,12.36 h,5+,3.349(7),,,,NMR/ON,1992Oh01,PR C45 162 (92)
131I,0,8.04 d,7/2+,+2.742(1),,,[127I],AB,1960Li13,PR 119 2022 (60)
132I,0,2.28 h,4+,3.088(7),,,[127I],AB,1960Wh06,BAPS 5 504 (60)
133I,0,20.9 h,7/2+,+2.856(5),,,[127I],AB,1961Al20,UCRL 9850 (61)
135I,0,6.57 h,7/2+,(+)2.940(2),,,,NMR/ON,1998Wh04,NP A644 277 (98)
117Xe,0,1.02 m,5/2+,-0.5938(15) d,,,[129Xe],CFBLS,1990NeZY,PC Neugart (90)
119Xe,0,5.8 m,5/2+,-0.6542(15) d,,,[129Xe],CFBLS,1990NeZY,PC Neugart (90)
121Xe,0,39 m,5/2+,-0.701(3) d,,,[129Xe],CFBLS,1990NeZY,PC Neugart (90)
123Xe,0,2.00 h,1/2+,-0.150(3) d,,,[129Xe],CFBLS,1990NeZY,PC Neugart (90)
124Xe,354,56 ps,2+,+0.46(4),,,[132Xe 668],IMPAC,1975Go18,PR C12 628 (75)
125Xe,0,17.1 h,1/2+,-0.269(3) d,,,[129Xe],CFBLS,1990NeZY,PC Neugart (90)
126Xe,389,41.2 ps,2+,+0.74(14),,,,IPAC,1977Ar19,HFI 5 81 (77)
127Xe,0,36.4 d,1/2+,-0.5033(11) d,,,[129Xe],CFBLS,1990NeZY,PC Neugart (90)
128Xe,443,21.4 ps,2+,+0.82(14),,,[126Xe 389],IMPAC,1977Ar19,HFI 5 81 (77)
129Xe,0,stable,1/2+,-0.777976(8),,,[2H],N,1968Br12,HPAc 41 367 (68)
130Xe,538,10.0 ps,2+,+0.67(2),,,,TF,2002Ja02,PR C65 024316 2002
131Xe,0,stable,3/2+,+0.6915(2) d,,,[129Xe],CFBLS,1990NeZY,PC Neugart (90)
132Xe,668,4.9 ps,2+,+0.63(2),,,,TF,2002Ja02,PR C65 024316 2002
133Xe,0,5.24 d,3/2+,+0.8129(5) d,,,[129Xe],CFBLS,1990NeZY,PC Neugart (90)
134Xe,847,1.9 ps,2+,+0.708(14),,,,TF,2002Ja02,PR C65 024316 2002
135Xe,0,9.10 h,3/2+,+0.9032(7) d,,,[129Xe],CFBLS,1990NeZY,PC Neugart (90)
136Xe,1313,0.21 ps,2+,+1.53(9),,,,TF,2002Ja02,PR C65 024316 2002
137Xe,0,3.82 m,7/2-,-0.968(8),,,"[129,131Xe]",CFBLS,1989Bo03,PL B216 7 (89)
139Xe,0,39.7 s,3/2-,-0.304(10),,,"[129,131Xe]",CFBLS,1989Bo03,PL B216 7 (89)
140Xe,377,0.163 ns,2+,0.7(2),,,,IPAC,2009GO09,PR C79 034316 (09)
141Xe,0,1.73 s,5/2+,+0.010(4),,,"[129,131Xe]",CFBLS,1989Bo03,PL B216 7 (89)
142Xe,287,0.20 ns,2+,0.8(3),,,,IPAC R,2009GO09,PR C79 034316 (09)
143Xe,0,0.30 s,5/2-,-0.4599(14),,,"[129,131Xe]",CFBLS,1989Bo03,PL B216 7 (89)
118Cs,(0),14 s,2,+3.876(5),,,[133Cs],ABLS,1987Co19,NP A468 1 (87)
119Cs,(0),36 s,9/2+,+5.46(3),,,[133Cs],ABLS,1981Th06,NP A468 1 (87)
120Cs,0,64 s,2+,+3.87(2),,,[133Cs],ABLS,1981Th06,NP A468 1 (87)
121Cs,0,2.27 m,3/2+,+0.770(4),,,[133Cs],ABLS,1981Th06,NP A468 1 (87)
122Cs,(0),21 s,1+,-0.1333(9),,,[133Cs],ABLS,1981Th06,NP A468 1 (87)
123Cs,0,5.8 m,1/2+,+1.377(7),,,[133Cs],ABLS,1981Th06,NP A468 1 (87)
124Cs,0,30.8 s,1+,+0.673(3),,,[133Cs],ABLS,1981Th06,NP A468 1 (87)
125Cs,0,45 m,1/2+,+1.409(7),,,[133Cs],ABLS,1981Th06,NP A468 1 (87)
126Cs,0,1.64 m,1+,+0.777(4),,,[133Cs],ABLS,1981Th06,NP A468 1 (87)
127Cs,0,6.2 h,1/2+,+1.459(7),,,[133Cs],ABLS,1981Th06,NP A468 1 (87)
128Cs,0,3.62 m,1+,+0.974(5),,,[133Cs],ABLS,1981Th06,NP A468 1 (87)
129Cs,0,32.3 h,1/2+,+1.491(8),,,[133Cs],ABLS,1981Th06,NP A468 1 (87)
130Cs,0,29.9 m,1+,+1.460(7),,,[133Cs],ABLS,1981Th06,NP A468 1 (87)
131Cs,0,9.69 d,5/2+,+3.53(2),,,[133Cs],ABLS,1981Th06,NP A367 1 (81)
132Cs,0,6.47 d,2(-),+2.222(7),,,,OL,1975Ac01,NP A248 157 (75)
133Cs,0,stable,7/2+,+2.582025(3),,,[87Rb],OP/RD,1973Wh01,PR A7 1178 (73)
134Cs,0,2.06 y,4+,+2.9937(9),,,[133Cs],AB/D,1957St11,PR 105 590 (57)
135Cs,0,3x10*6 y,7/2+,+2.7324(2),,,[133Cs],AB/D,1957St11,PR 105 590 (57)
136Cs,0,13.2 d,5+,+3.711(15),,,,OL,1975Ac01,NP A248 157 (75)
137Cs,0,30.17 y,7/2+,+2.8513(7),,,[133Cs],AB/D,1957St11,PR 105 590 (57)
138Cs,0,32.2 m,3-,+0.700(4),,,[133Cs],ABLS,1981Th06,NP A367 1 (81)
139Cs,0,9.4 m,7/2+,+2.696(4),,,[133Cs],CFBLS,1979Bo01,ZP A289 227 (79)
140Cs,0,65 s,1-,+0.1338953(5),,,[133Cs],ABLS,1986Du16,JPPa 47 1903 (86)
141Cs,0,25.1 s,7/2+,+2.438(10),,,[133Cs],CFBLS,1979Bo01,ZP A289 227 (79)
143Cs,0,1.78 s,3/2+,+0.870(4),,,[133Cs],ABLS,1981Th06,NP A367 1 (81)
144Cs,0,1.00 s,1,-0.546(3),,,[133Cs],ABLS,1981Th06,NP A367 1 (81)
145Cs,0,0.59 s,3/2+,+0.784(4),,,[133Cs],ABLS,1981Th06,NP A367 1 (81)
146Cs,0,0.34 s,1,-0.515(2),,,[133Cs],ABLS,1987Co19,NP A468 1 (87)
121Ba,0,30 s,5/2(+),+0.660(1),,,"[135,137Ba]",CFBLS,1988We14,PL 211B 272 (88)
123Ba,0,2.7 m,5/2+,-0.680(1),,,"[135,137Ba]",CFBLS,1988We14,PL 211B 272 (88)
125Ba,0,3.5 m,1/2+,+0.177(12),,,"[135,137Ba]",CFBLS,1983Mu12,NP A403 234 (83)
127Ba,0,12.7 m,1/2(+),+0.0834(10),,,"[135,137Ba]",CFBLS,1992Da06,JP G18 L67 (92)
129Ba,0,2.23 h,1/2+,-0.398(16),,,"[135,137Ba]","ABLFS, R",1983Mu12/1979Be25,NP A403 234 (83)/ZP A291 219 (79)
130Ba,357,37 ps,2+,+0.70(6),,,,TF,1980Br01,PR C21 574 (80)
131Ba,0,11.8 d,1/2+,0.708113(15),,,[137Ba],TIS,1987Kn10,EPL 4 1361 (87)
132Ba,465,18 ps,2+,+0.68(6),,,,TF,1980Br01,PR C21 574 (80)
133Ba,0,10.7 y,1/2+,0.77167(2),,,[137Ba],TIS,1987Kn10,EPL 4 1361 (87)/JPCo 42 339 (81)
134Ba,605,5.1 ps,2+,+0.86(10),,,,TF,1980Br01,PR C21 574 (80)
135Ba,0,stable,3/2+,+0.83794(2),,,,OP/RD,1972Ol01,ZP 249 205 (72)
136Ba,819,1.93 ps,2+,+0.69(10),,,,TF,1980Br01,PR C21 574 (80)
137Ba,0,stable,3/2+,+0.93737(2),,,,OP/RD,1972Ol01,ZP 249 205 (72)
138Ba,1436,0.206 ps,2+,+1.4(2),,,,TF,1987Ba65,ZP A328 275 (87)
139Ba,0,84.6 m,7/2-,-0.973(5),,,"[135,137Ba]",CFBLS,1988We07,ZP A329 407 (88)
140Ba,602,7.2 ps,2+,,-0.5(3),R,,CER,2012Ba40,PR C86 034310 (12)
141Ba,0,18.7 m,3/2-,-0.337(5),,,"[135,137Ba]",CFBLS,1988We07,ZP A329 407 (88)
142Ba,359,66 ps,2+,0.85(10),,,,"IPAC, R",1988Wo03/1986Gi14,PR C37 1253 (88)/PR C34 1983 (86)
143Ba,0,14.5 s,5/2(+),+0.443(11),,,"[135,137Ba]",CFBLS,1988We07,ZP A329 407 (88)
144Ba,199,0.70 ns,2+,0.68(10),,,,IPAC,1983Wo05,PL 123B 165 (83)
