energy,configuration,term,J,gJ,linewidth
4.64×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<3/2>),Ionization Limit,2,0.0,
4.64×10⁴ c·h/cm,4f14.6s.8d,3D1,1,0.49,
4.65×10⁴ c·h/cm,4f14.6s.8d,3D2,2,1.12,
4.65×10⁴ c·h/cm,4f14.6s.8d,3D3,3,1.35,
4.66×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4P*<5/2>),Ionization Limit,6,1.25,
4.69×10⁴ c·h/cm,4f14.6s.10s,3S1,1,0.0,
4.7×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (2D*<5/2>),"(7/2,5/2)6",6,1.18,
4.7×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<1/2>),"(7/2,1/2)4",4,0.86,
4.71×10⁴ c·h/cm,,Ionization Limit,2,1.08,
4.71×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<3/2>),"(7/2,3/2)5",5,1.16,
4.73×10⁴ c·h/cm,,Ionization Limit,3,0.0,
4.73×10⁴ c·h/cm,4f14.6s.7f,3F2*,2,0.0,
4.73×10⁴ c·h/cm,,Ionization Limit,1,0.95,
4.73×10⁴ c·h/cm,4f14.5d2?,Ionization Limit,2,0.0,
4.74×10⁴ c·h/cm,4f14.6s.(2S<1/2>).10p<1/2>,"(1/2,1/2)0*",0,0.0,
4.74×10⁴ c·h/cm,4f14.6s.(2S<1/2>).10p<1/2>,"(1/2,1/2)1*",1,1.36,
4.74×10⁴ c·h/cm,4f14.6s.9d?,1D2,2,1.04,
4.75×10⁴ c·h/cm,4f14.6s.(2S<1/2>).10p<3/2>,"(1/2,3/2)2*",2,0.0,
4.75×10⁴ c·h/cm,4f14.6s.(2S<1/2>).10p<3/2>,"(1/2,3/2)1*",1,1.03,
4.76×10⁴ c·h/cm,,Ionization Limit,1,0.73,
4.76×10⁴ c·h/cm,4f14.5d2?,3F2,2,0.0,
4.76×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<5/2>),Ionization Limit,5,1.09,
4.76×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<5/2>)?,Ionization Limit,1,0.0,
4.76×10⁴ c·h/cm,,Ionization Limit,3,1.32,
4.77×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<3/2>)?,Ionization Limit,3,0.0,
4.77×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<3/2>),"(7/2,3/2)4",4,0.0,
4.78×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<7/2>),"(7/2,7/2)4",4,1.22,
4.78×10⁴ c·h/cm,4f14.6p2?,1D2,2,1.04,
4.78×10⁴ c·h/cm,,Ionization Limit,3,0.0,
4.79×10⁴ c·h/cm,,Ionization Limit,1,1.3,
4.79×10⁴ c·h/cm,4f14.5d2?,3F3,3,1.02,
4.79×10⁴ c·h/cm,4f14.6s.11s,3S1,1,0.0,
4.79×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (2D*<3/2>),"(7/2,3/2)5",5,1.21,
4.79×10⁴ c·h/cm,,Ionization Limit,4,0.0,
4.81×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<7/2>),"(7/2,7/2)5",5,1.13,
4.81×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (2D*<3/2>),"(7/2,3/2)2",2,1.37,
4.82×10⁴ c·h/cm,,Ionization Limit,3,0.0,
4.82×10⁴ c·h/cm,4f14.6s.(2S<1/2>).11p<1/2>,"(1/2,1/2)1*",1,0.0,
4.82×10⁴ c·h/cm,,Ionization Limit,2,0.0,
4.82×10⁴ c·h/cm,,Ionization Limit,3,1.24,
4.83×10⁴ c·h/cm,4f14.6s.(2S<1/2>).11p<3/2>,"(1/2,3/2)1*",1,0.0,
4.83×10⁴ c·h/cm,,Ionization Limit,1,0.0,
4.83×10⁴ c·h/cm,,Ionization Limit,2,0.0,
4.84×10⁴ c·h/cm,,Ionization Limit,1,0.0,
4.84×10⁴ c·h/cm,,Ionization Limit,1,0.0,
4.84×10⁴ c·h/cm,,Ionization Limit,2,1.15,
4.85×10⁴ c·h/cm,,Ionization Limit,3,1.23,
4.85×10⁴ c·h/cm,4f14.6s.12s,3S1,1,0.0,
4.86×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<5/2>),Ionization Limit,3,0.0,
4.87×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<7/2>),"(7/2,7/2)6",6,0.0,
4.87×10⁴ c·h/cm,,Ionization Limit,2,0.0,
4.87×10⁴ c·h/cm,4f14.6s.(2S<1/2>).12p<1/2>,"(1/2,1/2)1*",1,0.0,
4.88×10⁴ c·h/cm,4f14.6s.(2S<1/2>).12p<3/2>,"(1/2,3/2)1*",1,0.0,
4.88×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (2D*<5/2>),"(7/2,5/2)4",4,1.21,
4.88×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<7/2>),"(7/2,7/2)6",6,1.22,
4.88×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<9/2>),"(7/2,9/2)1",1,0.0,
4.89×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<9/2>),Ionization Limit,2,0.0,
4.89×10⁴ c·h/cm,4f14.6s.13s,3S1,1,0.0,
4.9×10⁴ c·h/cm,,Ionization Limit,2,0.0,
4.9×10⁴ c·h/cm,,Ionization Limit,1,0.0,
4.91×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<5/2>),Ionization Limit,5,0.0,
4.91×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (2D*<3/2>),Ionization Limit,4,1.04,
4.91×10⁴ c·h/cm,4f14.6s.(2S<1/2>).13p<1/2>,"(1/2,1/2)1*",1,0.0,
4.91×10⁴ c·h/cm,4f14.6s.(2S<1/2>).13p<3/2>,"(1/2,3/2)1*",1,0.0,
4.92×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<9/2>),Ionization Limit,3,1.32,
4.92×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<9/2>),Ionization Limit,2,0.0,
4.93×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<7/2>),Ionization Limit,4,1.2,
4.93×10⁴ c·h/cm,,Ionization Limit,4,0.0,
4.94×10⁴ c·h/cm,4f14.6s.(2S<1/2>).14p<1/2>,"(1/2,1/2)1*",1,0.0,
4.94×10⁴ c·h/cm,4f14.6s.(2S<1/2>).14p<3/2>,"(1/2,3/2)1*",1,0.0,
4.94×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (2D*<3/2>),Ionization Limit,3,0.0,
4.95×10⁴ c·h/cm,4f14.6s.(2S<1/2>).15p<1/2>,"(1/2,1/2)1*",1,0.0,
4.95×10⁴ c·h/cm,4f14.6s.(2S<1/2>).15p<3/2>,"(1/2,3/2)1*",1,0.0,
4.96×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<7/2>),Ionization Limit,5,0.0,
4.97×10⁴ c·h/cm,4f14.6s.(2S<1/2>).16p<1/2>,"(1/2,1/2)1*",1,0.0,
4.97×10⁴ c·h/cm,4f14.6s.(2S<1/2>).16p<3/2>,"(1/2,3/2)1*",1,0.0,
4.98×10⁴ c·h/cm,4f14.6s.(2S<1/2>).17p<1/2>,"(1/2,1/2)1*",1,0.0,
4.98×10⁴ c·h/cm,4f14.6s.(2S<1/2>).17p<3/2>,"(1/2,3/2)1*",1,0.0,
4.99×10⁴ c·h/cm,4f14.6s.(2S<1/2>).18p<3/2>,"(1/2,3/2)1*",1,0.0,
4.99×10⁴ c·h/cm,,Ionization Limit,1,0.0,
5×10⁴ c·h/cm,4f14.6s.(2S<1/2>).19p<3/2>,"(1/2,3/2)1*",1,0.0,
5×10⁴ c·h/cm,4f14.6s.(2S<1/2>).20p<1/2>,"(1/2,1/2)1*",1,0.0,
5×10⁴ c·h/cm,4f14.6s.(2S<1/2>).20p<3/2>,"(1/2,3/2)1*",1,0.0,
5.01×10⁴ c·h/cm,4f14.6s.(2S<1/2>).21p<1/2>,"(1/2,1/2)1*",1,0.0,
5.01×10⁴ c·h/cm,4f14.6s.(2S<1/2>).21p<3/2>,"(1/2,3/2)1*",1,0.0,
5.01×10⁴ c·h/cm,4f14.6s.(2S<1/2>).22p<1/2>,"(1/2,1/2)1*",1,0.0,
5.01×10⁴ c·h/cm,4f14.6s.(2S<1/2>).22p<3/2>,"(1/2,3/2)1*",1,0.0,
5.01×10⁴ c·h/cm,4f14.6s.(2S<1/2>).23p<1/2>,"(1/2,1/2)1*",1,0.0,
5.01×10⁴ c·h/cm,4f14.6s.(2S<1/2>).23p<3/2>,"(1/2,3/2)1*",1,0.0,
5.02×10⁴ c·h/cm,4f14.6s.(2S<1/2>).24p<1/2>,"(1/2,1/2)1*",1,0.0,
5.02×10⁴ c·h/cm,4f14.6s.(2S<1/2>).24p<3/2>,"(1/2,3/2)1*",1,0.0,
5.02×10⁴ c·h/cm,4f14.6s.(2S<1/2>).25p<1/2>,"(1/2,1/2)1*",1,0.0,
5.02×10⁴ c·h/cm,4f14.6s.(2S<1/2>).25p<3/2>,"(1/2,3/2)1*",1,0.0,
5.02×10⁴ c·h/cm,4f14.6s.(2S<1/2>).26p<3/2>,"(1/2,3/2)1*",1,0.0,
5.02×10⁴ c·h/cm,4f14.6s.(2S<1/2>).27p<3/2>,"(1/2,3/2)1*",1,0.0,
5.03×10⁴ c·h/cm,4f14.6s.(2S<1/2>).28p<3/2>,"(1/2,3/2)1*",1,0.0,
5.03×10⁴ c·h/cm,4f14.6s.(2S<1/2>).29p<3/2>,"(1/2,3/2)1*",1,0.0,
5.03×10⁴ c·h/cm,4f14.6s.(2S<1/2>).30p<3/2>,"(1/2,3/2)1*",1,0.0,
5.03×10⁴ c·h/cm,4f14.6s.(2S<1/2>).31p<3/2>,"(1/2,3/2)1*",1,0.0,
5.03×10⁴ c·h/cm,4f14.6s.(2S<1/2>).32p<3/2>,"(1/2,3/2)1*",1,0.0,
5.03×10⁴ c·h/cm,4f14.6s.(2S<1/2>).33p<3/2>,"(1/2,3/2)1*",1,0.0,
5.03×10⁴ c·h/cm,4f14.6s.(2S<1/2>).34p<3/2>,"(1/2,3/2)1*",1,0.0,
